0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:08 +0530] GET / HTTP/1.1 200 3523
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:15 +0530] POST /login HTTP/1.1 302 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:16 +0530] GET /console HTTP/1.1 200 10580
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:16 +0530] GET /console/profilepicture?size=medium&username=ADMINISTRATOR HTTP/1.1 200 11553
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:24 +0530] GET /console/newdocument?classid=1 HTTP/1.1 200 8247
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 -
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 172
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 172
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 173
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 173
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 173
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 173
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 173
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 173
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 173
0:0:0:0:0:0:0:1 - - [03/Sep/2015:14:57:33 +0530] POST /console/uploadprogress HTTP/1.1 200 173
